"site","y","t","w","QC_flag"
"Tumbarumba",0.325019761758915,2019-10-10 12:16:00,1,"good"
"Tumbarumba",0.32490049732945,2019-10-15 12:16:00,1,"good"
"Tumbarumba",0.325972770622947,2019-10-20 12:16:00,1,"good"
"Tumbarumba",0.327459919126733,2019-10-22 12:06:00,1,"good"
"Tumbarumba",0.327735273465498,2019-10-27 12:06:00,1,"good"
"Tumbarumba",0.326031228888447,2019-11-01 12:06:00,1,"good"
"Tumbarumba",0.322446064642987,2019-11-11 12:06:00,1,"good"
"Tumbarumba",0.317010227287939,2019-11-14 12:16:00,1,"good"
"Tumbarumba",0.311181801107802,2019-11-16 12:06:00,1,"good"
"Tumbarumba",0.306036453312648,2019-11-19 12:16:00,1,"good"
"Tumbarumba",0.303406090913398,2019-11-24 12:16:00,1,"good"
"Tumbarumba",0.304681352129191,2019-11-29 12:16:00,1,"good"
"Tumbarumba",0.309541840811172,2019-12-04 12:16:00,1,"good"
"Tumbarumba",0.316135242434662,2019-12-06 12:06:00,1,"good"
"Tumbarumba",0.322444497798687,2019-12-09 12:16:00,1,"good"
"Tumbarumba",0.32528870660895,2019-12-11 12:06:00,1,"good"
"Tumbarumba",0.321550619679089,2019-12-14 12:16:00,1,"good"
"Tumbarumba",0.310203800565974,2019-12-16 12:06:00,1,"good"
"Tumbarumba",0.291046989050713,2019-12-21 12:06:00,1,"good"
"Tumbarumba",0.267062825360548,2019-12-24 12:16:00,1,"good"
"Tumbarumba",0.241843938666365,2019-12-26 12:06:00,1,"good"
"Tumbarumba",0.219058336224878,2020-05-14 12:06:00,1,"good"
"Tumbarumba",0.205667881012908,2020-05-17 12:16:00,1,"good"
"Tumbarumba",0.203701496732571,2020-11-20 12:06:00,1,"good"
"Tumbarumba",0.211508290414671,2020-11-25 12:06:00,1,"good"
"Tumbarumba",0.226333138930879,2020-12-20 12:06:00,1,"good"
"Tumbarumba",0.244061893344805,2020-12-28 12:16:00,1,"good"
"Tumbarumba",0.26062424897839,2021-01-07 12:16:00,1,"good"
"Tumbarumba",0.272562478171678,2021-01-09 12:06:00,1,"good"
"Tumbarumba",0.27802709305312,2021-01-14 12:06:00,1,"good"
"Tumbarumba",0.277239940460896,2021-01-17 12:16:00,1,"good"
"Tumbarumba",0.272342131175722,2021-01-19 12:06:00,1,"good"
"Tumbarumba",0.265693257321519,2021-01-22 12:16:00,1,"good"
"Tumbarumba",0.260812626682726,2021-01-24 12:06:00,1,"good"
"Tumbarumba",0.25963145687066,2021-02-11 12:16:00,1,"good"
"Tumbarumba",0.262713915896265,2021-02-13 12:06:00,1,"good"
"Tumbarumba",0.269104361599637,2021-02-18 12:06:00,1,"good"
"Tumbarumba",0.276748899298761,2021-02-21 12:16:00,1,"good"
"Tumbarumba",0.283218105802732,2021-02-26 12:16:00,1,"good"
"Tumbarumba",0.286662162218852,2021-02-28 12:06:00,1,"good"
"Tumbarumba",0.285797912558975,2021-03-05 12:06:00,1,"good"
"Tumbarumba",0.280348969779225,2021-03-08 12:16:00,1,"good"
"Tumbarumba",0.271981820360059,2021-03-10 12:06:00,1,"good"
"Tumbarumba",0.261617630048501,2021-03-15 12:06:00,1,"good"
"Tumbarumba",0.251530591849906,2021-04-02 12:16:00,1,"good"
"Tumbarumba",0.243625015850544,2021-04-04 12:06:00,1,"good"
"Tumbarumba",0.238431350120578,2021-04-12 12:16:00,1,"good"
"Tumbarumba",0.236223856744751,2021-04-17 12:16:00,1,"good"
"Tumbarumba",0.236170274106983,2021-04-19 12:06:00,1,"good"
"Tumbarumba",0.236726395229769,2021-04-24 12:06:00,1,"good"
"Tumbarumba",0.236294251584403,2021-04-27 12:16:00,1,"good"
"Tumbarumba",0.233993496516607,2021-04-29 12:06:00,1,"good"
"Tumbarumba",0.229030935637093,2021-05-07 12:16:00,1,"good"
"Tumbarumba",0.221737544328974,2021-05-09 12:06:00,1,"good"
"Tumbarumba",0.212939032000641,2021-05-19 12:06:00,1,"good"
"Tumbarumba",0.204367826123518,2021-05-22 12:16:00,1,"good"
"Tumbarumba",0.198013045338777,2021-05-29 12:06:00,1,"good"
"Tumbarumba",0.194288014108721,2021-06-21 12:16:00,1,"good"
"Tumbarumba",0.19422275728934,2021-06-28 12:06:00,1,"good"
"Tumbarumba",0.197950824583785,2021-07-11 12:16:00,1,"good"
"Tumbarumba",0.204948613361494,2021-08-15 12:16:00,1,"good"
"Tumbarumba",0.213799962948013,2021-08-22 12:06:00,1,"good"
"Tumbarumba",0.222978097324182,2021-08-25 12:16:00,1,"good"
"Tumbarumba",0.231694058325736,2021-09-06 12:06:00,1,"good"
"Tumbarumba",0.23891727471426,2021-09-11 12:06:00,1,"good"
"Tumbarumba",0.244229929698463,2021-09-16 12:06:00,1,"good"
"Tumbarumba",0.247561295056185,2021-09-21 12:06:00,1,"good"
"Tumbarumba",0.250220760521119,2021-09-26 12:06:00,1,"good"
"Tumbarumba",0.252318818189043,2021-10-04 12:16:00,1,"good"
"Tumbarumba",0.254661757526588,2021-10-06 12:06:00,1,"good"
"Tumbarumba",0.257791343280383,2021-10-09 12:16:00,1,"good"
"Tumbarumba",0.261950073788082,2021-10-19 12:16:00,1,"good"
"Tumbarumba",0.267357567777473,2021-10-24 12:16:00,1,"good"
"Tumbarumba",0.27387846751677,2021-10-26 12:06:00,1,"good"
"Tumbarumba",0.28117708575451,2021-10-31 12:06:00,1,"good"
"Tumbarumba",0.28884513645014,2021-11-28 12:16:00,1,"good"
"Tumbarumba",0.296482170378122,2021-11-30 12:06:00,1,"good"
"Tumbarumba",0.3033856459382,2021-12-03 12:16:00,1,"good"
"Tumbarumba",0.309760086787526,2021-12-20 12:06:00,1,"good"
"Tumbarumba",0.31501732277627,2021-12-23 12:16:00,1,"good"
"Tumbarumba",0.319211921830109,2021-12-25 12:06:00,1,"good"
"Tumbarumba",0.322355377745446,2021-12-28 12:16:00,1,"good"
"Tumbarumba",0.324583922056483,2022-01-02 12:16:00,1,"good"
"Tumbarumba",0.326191969886821,2022-01-04 12:06:00,1,"good"
"Tumbarumba",0.327008744449721,2022-01-12 12:16:00,1,"good"
"Tumbarumba",0.327062310859984,2022-01-22 12:16:00,1,"good"
"Tumbarumba",0.32647840711401,2022-01-27 12:16:00,1,"good"
"Tumbarumba",0.325571287639123,2022-02-06 12:16:00,1,"good"
"Tumbarumba",0.323942862954895,2022-02-13 12:06:00,1,"good"
"Tumbarumba",0.321431167018993,2022-02-16 12:16:00,1,"good"
"Tumbarumba",0.318124630914805,2022-02-18 12:06:00,1,"good"
"Tumbarumba",0.313379712914951,2022-02-21 12:16:00,1,"good"
"Tumbarumba",0.307506107456991,2022-03-03 12:16:00,1,"good"
"Tumbarumba",0.300423173942762,2022-03-18 12:16:00,1,"good"
"Tumbarumba",0.292562242953422,2022-03-25 12:06:00,1,"good"
"Tumbarumba",0.283953803134952,2022-03-30 12:06:00,1,"good"
"Tumbarumba",0.275215490508647,2022-04-14 12:06:00,1,"good"
"Tumbarumba",0.267118106008698,2022-04-17 12:16:00,1,"good"
"Tumbarumba",0.25974046440197,2022-04-22 12:16:00,1,"good"
"Tumbarumba",0.253278500675929,2022-04-24 12:06:00,1,"good"
"Tumbarumba",0.247297446655676,2022-05-02 12:16:00,1,"good"
"Tumbarumba",0.242455472740537,2022-05-09 12:06:00,1,"good"
"Tumbarumba",0.236914331962101,2022-05-19 12:06:00,1,"good"
"Tumbarumba",0.2321539806675,2022-05-22 12:16:00,1,"good"
"Tumbarumba",0.228045168827899,2022-05-24 12:06:00,1,"good"
